L_min,L_max,error,sqr_error,n_successes
5,15,30,50,0
5,16,28,44,0
6,16,29,47,0
5,17,30,50,0
6,17,30,50,0
7,17,28,44,0
5,18,33,59,0
6,18,32,56,0
7,18,30,50,0
8,18,30,50,0
5,19,36,68,0
6,19,32,56,0
7,19,33,59,0
8,19,32,56,0
9,19,33,59,0
5,20,36,68,0
6,20,34,62,0
7,20,33,59,0
8,20,32,56,0
9,20,32,56,0
10,20,34,62,0
5,21,36,68,0
6,21,37,71,0
7,21,37,71,0
8,21,33,59,0
9,21,36,68,0
10,21,36,68,0
11,21,35,65,0
5,22,36,68,0
6,22,35,65,0
7,22,37,71,0
8,22,37,71,0
9,22,37,71,0
10,22,36,68,0
11,22,35,65,0
12,22,37,71,0
5,23,38,74,0
6,23,37,71,0
7,23,38,74,0
8,23,36,68,0
9,23,37,71,0
10,23,38,74,0
11,23,36,68,0
12,23,38,74,0
13,23,38,74,0
5,24,36,68,0
6,24,37,71,0
7,24,37,71,0
8,24,37,71,0
9,24,36,68,0
10,24,38,74,0
11,24,36,68,0
12,24,37,71,0
13,24,38,74,0
14,24,39,77,0
5,25,38,74,0
6,25,37,71,0
7,25,38,74,0
8,25,37,71,0
9,25,37,71,0
10,25,36,68,0
11,25,36,68,0
12,25,37,71,0
13,25,38,74,0
14,25,39,77,0
15,25,39,77,0
5,26,37,71,0
6,26,37,71,0
7,26,38,74,0
8,26,37,71,0
9,26,35,65,0
10,26,37,71,0
11,26,36,68,0
12,26,37,71,0
13,26,37,71,0
14,26,38,74,0
15,26,38,74,0
16,26,39,77,0
5,27,37,71,0
6,27,36,68,0
7,27,38,74,0
8,27,37,71,0
9,27,36,68,0
10,27,36,68,0
11,27,36,68,0
12,27,38,74,0
13,27,37,71,0
14,27,38,74,0
15,27,38,74,0
16,27,39,77,0
17,27,38,74,0
5,28,38,74,0
6,28,36,68,0
7,28,38,74,0
8,28,37,71,0
9,28,36,68,0
10,28,36,68,0
11,28,36,68,0
12,28,37,71,0
13,28,37,71,0
14,28,38,74,0
15,28,38,74,0
16,28,39,77,0
17,28,37,71,0
18,28,36,68,0
5,29,37,71,0
6,29,36,68,0
7,29,37,71,0
8,29,36,68,0
