L_min,L_max,error,sqr_error,n_successes
5,15,25,43,4
5,16,20,34,7
6,16,22,38,6
5,17,25,43,4
6,17,21,37,7
7,17,21,35,6
5,18,29,55,4
6,18,26,50,6
7,18,24,44,6
8,18,23,43,7
5,19,35,67,1
6,19,29,53,3
7,19,31,57,2
8,19,28,52,4
9,19,32,58,1
5,20,36,68,0
6,20,31,59,3
7,20,32,58,1
8,20,29,53,3
9,20,29,53,3
10,20,31,59,3
5,21,36,68,0
6,21,33,65,3
7,21,37,71,0
8,21,32,58,1
9,21,33,63,2
10,21,36,68,0
11,21,35,65,0
5,22,36,68,0
6,22,35,65,0
7,22,37,71,0
8,22,35,67,1
9,22,37,71,0
10,22,36,68,0
11,22,35,65,0
12,22,36,68,0
5,23,38,74,0
6,23,37,71,0
7,23,38,74,0
8,23,34,64,1
9,23,37,71,0
10,23,38,74,0
11,23,35,67,1
12,23,37,71,0
13,23,38,74,0
5,24,36,68,0
6,24,37,71,0
7,24,37,71,0
8,24,35,67,1
9,24,36,68,0
10,24,38,74,0
11,24,35,67,1
12,24,36,68,0
13,24,38,74,0
14,24,36,70,1
5,25,38,74,0
6,25,37,71,0
7,25,38,74,0
8,25,35,67,1
9,25,37,71,0
10,25,36,68,0
11,25,35,67,1
12,25,36,68,0
13,25,38,74,0
14,25,38,74,0
15,25,39,77,0
5,26,37,71,0
6,26,37,71,0
7,26,38,74,0
8,26,35,67,1
9,26,35,65,0
10,26,37,71,0
11,26,36,68,0
12,26,36,68,0
13,26,37,71,0
14,26,37,71,0
15,26,38,74,0
16,26,39,77,0
5,27,37,71,0
6,27,36,68,0
7,27,38,74,0
8,27,35,67,1
9,27,36,68,0
10,27,36,68,0
11,27,36,68,0
12,27,38,74,0
13,27,37,71,0
14,27,38,74,0
15,27,38,74,0
16,27,39,77,0
17,27,38,74,0
5,28,38,74,0
6,28,36,68,0
7,28,38,74,0
8,28,35,67,1
9,28,36,68,0
10,28,36,68,0
11,28,36,68,0
12,28,37,71,0
13,28,37,71,0
14,28,37,71,0
15,28,38,74,0
16,28,39,77,0
17,28,37,71,0
18,28,36,68,0
5,29,37,71,0
6,29,36,68,0
7,29,37,71,0
8,29,34,64,1
9,29,36,68,0
10,29,37,71,0
11,29,37,71,0
12,29,37,71,0
13,29,37,71,0
14,29,37,71,0
15,29,38,74,0
16,29,39,77,0
17,29,38,74,0
18,29,35,65,0
19,29,34,62,0
5,30,37,71,0
6,30,36,68,0
7,30,37,71,0
8,30,34,64,1
9,30,36,68,0
10,30,37,71,0
11,30,37,71,0
12,30,37,71,0
13,30,37,71,0
14,30,36,68,0
15,30,38,74,0
16,30,39,77,0
17,30,37,71,0
18,30,35,65,0
19,30,34,62,0
20,30,34,62,0
5,31,37,71,0
6,31,35,65,0
7,31,37,71,0
8,31,35,67,1
9,31,36,68,0
10,31,36,68,0
11,31,36,68,0
12,31,37,71,0
13,31,38,74,0
14,31,37,71,0
15,31,39,77,0
16,31,39,77,0
17,31,39,77,0
18,31,35,65,0
19,31,34,62,0
20,31,32,58,1
21,31,29,47,0
5,32,37,71,0
6,32,36,68,0
7,32,37,71,0
8,32,35,67,1
9,32,36,68,0
10,32,36,68,0
11,32,36,68,0
12,32,37,71,0
13,32,38,74,0
14,32,37,71,0
15,32,39,77,0
16,32,39,77,0
17,32,37,71,0
18,32,35,65,0
19,32,33,59,0
20,32,32,58,1
21,32,30,50,0
22,32,27,43,1
5,33,37,71,0
6,33,36,68,0
7,33,37,71,0
8,33,35,67,1
9,33,36,68,0
10,33,36,68,0
11,33,36,68,0
12,33,37,71,0
13,33,38,74,0
14,33,37,71,0
15,33,39,77,0
16,33,39,77,0
17,33,38,74,0
18,33,35,65,0
19,33,33,59,0
20,33,32,58,1
21,33,30,50,0
22,33,27,43,1
23,33,22,30,2
5,34,37,71,0
6,34,36,68,0
7,34,36,68,0
8,34,35,67,1
9,34,36,68,0
10,34,36,68,0
11,34,36,68,0
12,34,36,68,0
13,34,36,68,0
14,34,36,68,0
15,34,38,74,0
16,34,39,77,0
17,34,37,71,0
18,34,35,65,0
19,34,33,59,0
20,34,35,65,0
21,34,30,50,0
22,34,28,46,1
23,34,22,32,3
24,34,23,33,2
5,35,36,68,0
6,35,36,68,0
7,35,36,68,0
8,35,35,67,1
9,35,35,65,0
10,35,36,68,0
11,35,36,68,0
12,35,36,68,0
13,35,36,68,0
14,35,36,68,0
15,35,38,74,0
16,35,39,77,0
17,35,36,68,0
18,35,36,68,0
19,35,31,53,0
20,35,32,58,1
21,35,30,50,0
22,35,28,46,1
23,35,23,35,3
24,35,23,33,2
25,35,21,29,3
5,36,36,68,0
6,36,35,65,0
7,36,36,68,0
8,36,34,64,1
9,36,36,68,0
10,36,35,65,0
11,36,35,65,0
12,36,36,68,0
13,36,37,71,0
14,36,37,71,0
15,36,39,77,0
16,36,39,77,0
17,36,37,71,0
18,36,34,62,0
19,36,33,59,0
20,36,34,62,0
21,36,32,56,0
22,36,27,43,1
23,36,24,36,2
24,36,22,30,2
25,36,23,35,3
26,36,27,41,0
5,37,34,62,0
6,37,34,62,0
7,37,34,62,0
8,37,31,55,1
9,37,34,62,0
10,37,35,65,0
11,37,35,65,0
12,37,36,68,0
13,37,35,65,0
14,37,36,68,0
15,37,36,68,0
16,37,37,71,0
17,37,34,62,0
18,37,34,62,0
19,37,32,56,0
20,37,30,50,0
21,37,28,46,1
22,37,24,36,2
23,37,22,30,2
24,37,19,23,3
25,37,21,29,3
26,37,26,38,0
27,37,24,38,3
5,38,33,59,0
6,38,33,59,0
7,38,31,55,1
8,38,30,54,2
9,38,30,54,2
10,38,32,58,1
11,38,34,62,0
12,38,34,64,1
13,38,34,62,0
14,38,36,68,0
15,38,35,65,0
16,38,36,70,1
17,38,33,61,1
18,38,35,65,0
19,38,35,65,0
20,38,32,56,0
21,38,28,46,1
22,38,24,36,2
23,38,21,29,3
24,38,24,36,2
25,38,26,42,2
26,38,27,43,1
27,38,26,40,1
28,38,25,41,3
5,39,33,59,0
6,39,31,55,1
7,39,31,55,1
8,39,28,48,2
9,39,28,48,2
10,39,30,52,1
11,39,34,62,0
12,39,36,68,0
13,39,34,62,0
14,39,36,68,0
15,39,36,68,0
16,39,35,67,1
17,39,36,68,0
18,39,33,59,0
19,39,34,62,0
20,39,32,56,0
21,39,28,46,1
22,39,27,45,2
23,39,23,33,2
24,39,24,36,2
25,39,23,37,4
26,39,24,38,3
27,39,25,41,3
28,39,25,41,3
29,39,25,43,4
5,40,34,62,0
6,40,32,58,1
7,40,32,58,1
8,40,31,55,1
9,40,31,55,1
10,40,31,55,1
11,40,30,52,1
12,40,31,55,1
13,40,33,59,0
14,40,33,59,0
15,40,32,56,0
16,40,30,52,1
17,40,29,49,1
18,40,31,55,1
19,40,28,46,1
20,40,28,46,1
21,40,27,43,1
22,40,27,43,1
23,40,23,35,3
24,40,23,35,3
25,40,23,35,3
26,40,24,36,2
27,40,22,34,4
28,40,20,30,5
29,40,21,33,5
30,40,22,36,5
5,41,34,62,0
6,41,35,65,0
7,41,34,62,0
8,41,32,58,1
9,41,33,61,1
10,41,35,65,0
11,41,33,59,0
12,41,36,68,0
13,41,36,68,0
14,41,34,62,0
15,41,34,62,0
16,41,33,59,0
17,41,33,59,0
18,41,34,62,0
19,41,33,59,0
20,41,33,59,0
21,41,29,47,0
22,41,26,40,1
23,41,26,42,2
24,41,26,40,1
25,41,27,45,2
26,41,28,46,1
27,41,30,50,0
28,41,29,49,1
29,41,28,48,2
30,41,27,47,3
31,41,28,48,2
5,42,35,65,0
6,42,35,65,0
7,42,33,61,1
8,42,31,57,2
9,42,33,61,1
10,42,33,61,1
11,42,33,61,1
12,42,33,61,1
13,42,35,65,0
14,42,34,62,0
15,42,34,62,0
16,42,32,58,1
17,42,31,55,1
18,42,31,55,1
19,42,33,59,0
20,42,30,52,1
21,42,27,43,1
22,42,25,39,2
23,42,25,39,2
24,42,27,43,1
25,42,26,42,2
26,42,27,43,1
27,42,27,45,2
28,42,25,41,3
29,42,24,40,4
30,42,23,39,5
31,42,24,40,4
32,42,22,38,6
5,43,32,56,0
6,43,32,56,0
7,43,30,52,1
8,43,28,48,2
9,43,31,55,1
10,43,31,55,1
11,43,31,55,1
12,43,32,58,1
13,43,34,62,0
14,43,34,62,0
15,43,32,56,0
16,43,30,54,2
17,43,28,48,2
18,43,28,48,2
19,43,29,49,1
20,43,28,46,1
21,43,27,43,1
22,43,23,35,3
23,43,23,35,3
24,43,25,37,1
25,43,23,35,3
26,43,25,39,2
27,43,24,38,3
28,43,23,35,3
29,43,21,31,4
30,43,20,30,5
31,43,20,30,5
32,43,18,28,7
33,43,19,29,6
5,44,30,50,0
6,44,29,49,1
7,44,28,46,1
8,44,28,46,1
9,44,28,46,1
10,44,30,50,0
11,44,29,47,0
12,44,31,53,0
13,44,30,50,0
14,44,30,50,0
15,44,29,49,1
16,44,28,46,1
17,44,28,46,1
18,44,27,43,1
19,44,26,40,1
20,44,26,40,1
21,44,24,34,1
22,44,22,32,3
23,44,23,33,2
24,44,23,33,2
25,44,23,33,2
26,44,22,32,3
27,44,22,32,3
28,44,22,32,3
29,44,20,30,5
30,44,21,31,4
31,44,21,31,4
32,44,18,28,7
33,44,20,30,5
34,44,22,32,3
5,45,27,43,1
6,45,29,49,1
7,45,27,43,1
8,45,25,39,2
9,45,27,43,1
10,45,29,49,1
11,45,27,45,2
12,45,27,43,1
13,45,29,49,1
14,45,30,50,0
15,45,27,43,1
16,45,25,39,2
17,45,26,42,2
18,45,25,39,2
19,45,25,39,2
20,45,24,36,2
21,45,23,33,2
22,45,20,28,4
23,45,20,28,4
24,45,24,34,1
25,45,24,34,1
26,45,22,30,2
27,45,22,32,3
28,45,22,32,3
29,45,21,31,4
30,45,21,31,4
31,45,21,31,4
32,45,18,28,7
33,45,21,31,4
34,45,21,31,4
35,45,23,33,2
5,46,27,43,1
6,46,28,46,1
7,46,27,45,2
8,46,26,42,2
9,46,27,43,1
10,46,28,46,1
11,46,26,40,1
12,46,28,46,1
13,46,27,43,1
14,46,26,40,1
15,46,25,39,2
16,46,25,39,2
17,46,26,42,2
18,46,24,36,2
19,46,25,39,2
20,46,23,33,2
21,46,23,31,1
22,46,20,28,4
23,46,20,26,3
24,46,23,31,1
25,46,20,26,3
26,46,22,30,2
27,46,22,32,3
28,46,21,29,3
29,46,20,28,4
30,46,19,27,5
31,46,19,27,5
32,46,16,24,8
33,46,19,27,5
34,46,21,29,3
35,46,22,30,2
36,46,22,28,1
5,47,25,39,2
6,47,26,42,2
7,47,24,38,3
8,47,22,34,4
9,47,25,39,2
10,47,27,43,1
11,47,28,46,1
12,47,28,46,1
13,47,28,46,1
14,47,26,40,1
15,47,27,45,2
16,47,25,39,2
17,47,25,39,2
18,47,25,39,2
19,47,22,30,2
20,47,22,30,2
21,47,23,31,1
22,47,19,25,4
23,47,21,27,2
24,47,21,27,2
25,47,20,26,3
26,47,20,26,3
27,47,18,24,5
28,47,18,24,5
29,47,16,22,7
30,47,17,23,6
31,47,16,22,7
32,47,14,20,9
33,47,17,23,6
34,47,18,24,5
35,47,18,24,5
36,47,20,26,3
37,47,20,26,3
5,48,27,43,1
6,48,28,46,1
7,48,28,48,2
8,48,24,38,3
9,48,25,39,2
10,48,27,43,1
11,48,27,43,1
12,48,26,40,1
13,48,27,43,1
14,48,27,43,1
15,48,26,42,2
16,48,26,42,2
17,48,25,39,2
18,48,24,36,2
19,48,24,36,2
20,48,24,36,2
21,48,23,31,1
22,48,20,26,3
23,48,23,33,2
24,48,22,30,2
25,48,22,30,2
26,48,22,30,2
27,48,20,26,3
28,48,19,25,4
29,48,18,26,6
30,48,19,27,5
31,48,19,29,6
32,48,17,27,8
33,48,20,30,5
34,48,20,30,5
35,48,20,30,5
36,48,21,29,3
37,48,21,31,4
38,48,20,26,3
5,49,27,43,1
6,49,28,46,1
7,49,27,45,2
8,49,23,35,3
9,49,25,39,2
10,49,27,43,1
11,49,27,43,1
12,49,29,49,1
13,49,27,43,1
14,49,29,49,1
15,49,28,48,2
16,49,27,45,2
17,49,25,41,3
18,49,25,39,2
19,49,24,36,2
20,49,23,33,2
21,49,23,31,1
22,49,20,26,3
23,49,22,30,2
24,49,21,27,2
25,49,22,30,2
26,49,22,28,1
27,49,20,26,3
28,49,20,26,3
29,49,18,26,6
30,49,18,26,6
31,49,17,25,7
32,49,15,21,8
33,49,18,24,5
34,49,19,25,4
35,49,19,25,4
36,49,21,27,2
37,49,19,23,3
38,49,21,29,3
39,49,17,21,5
5,50,27,43,1
6,50,27,45,2
7,50,26,42,2
8,50,23,35,3
9,50,24,36,2
10,50,26,40,1
11,50,27,43,1
12,50,28,46,1
13,50,28,46,1
14,50,27,45,2
15,50,28,48,2
16,50,28,48,2
17,50,26,42,2
18,50,25,39,2
19,50,23,33,2
20,50,21,29,3
21,50,22,28,1
22,50,20,26,3
23,50,21,27,2
24,50,20,24,2
25,50,19,23,3
26,50,20,24,2
27,50,18,22,4
28,50,19,23,3
29,50,16,20,6
30,50,16,20,6
31,50,17,21,5
32,50,15,19,7
33,50,18,22,4
34,50,17,21,5
35,50,18,24,5
36,50,19,23,3
37,50,19,23,3
38,50,19,25,4
39,50,18,22,4
40,50,19,23,3
