time,x,E_order,I_order,y,dataset
1,1.5851227216153134,1,1,2,1
2,8.83870458459217,1,1,8,1
3,41.73385526521061,1,1,26,1
4,188.36955387999848,1,1,283,1
5,713.2699385483762,1,1,574,1
6,1630.5725813722852,1,1,2761,1
7,1778.6480099470982,1,1,3984,1
8,1222.768154316257,1,1,720,1
9,752.1726014094875,1,1,1704,1
10,456.8665226256371,1,1,266,1
11,277.1593701362526,1,1,132,1
12,168.11330862637806,1,1,111,1
13,101.9674952018031,1,1,77,1
14,61.84689502429865,1,1,55,1
15,37.51222317054817,1,1,46,1
16,22.752398062900284,1,1,20,1
17,13.800070554881131,1,1,0,1
18,8.370190162286235,1,1,0,1
19,5.076791198549472,1,1,4,1
20,3.079238150312449,1,1,0,1
21,1.867657694099762,1,1,1,1
22,1.132795006464221,1,1,2,1
23,0.6870770204623113,1,1,0,1
24,0.4167346212325356,1,1,0,1
25,0.25276317741099774,1,1,0,1
1,1.7818413517227678,1,2,2,1
2,11.117557376401715,1,2,7,1
3,58.683439386138105,1,2,75,1
4,288.62106500799024,1,2,505,1
5,1061.5082610561785,1,2,1179,1
6,1906.0225666201788,1,2,2049,1
7,1601.864827347118,1,2,1540,1
8,1009.4393886399021,1,2,997,1
9,613.8080972361795,1,2,512,1
10,372.3713711095261,1,2,339,1
11,225.86189548289985,1,2,146,1
12,136.9934007287966,1,2,57,1
13,83.09103161068197,1,2,48,1
14,50.397380932024134,1,2,104,1
15,30.567611534396747,1,2,27,1
16,18.540221224332527,1,2,16,1
17,11.245227597823032,1,2,5,1
18,6.820583810750577,1,2,5,1
19,4.136898146814929,1,2,2,1
20,2.509158490923255,1,2,6,1
21,1.5218833052122136,1,2,3,1
22,0.9230699374020332,1,2,0,1
23,0.559870852941458,1,2,2,1
24,0.3395792216069822,1,2,0,1
25,0.2059654416561898,1,2,0,1
1,1.8407634014772252,1,3,3,1
2,11.99267474786227,1,3,9,1
3,65.8448030303813,1,3,60,1
4,332.92357251135877,1,3,1178,1
5,1196.6602601636155,1,3,744,1
6,1954.7095567272106,1,3,1377,1
7,1526.185473904823,1,3,673,1
8,947.1530341819916,1,3,956,1
9,575.1895331044834,1,3,477,1
10,348.9044324647002,1,3,117,1
11,211.62470940737967,1,3,170,1
12,128.35754549572812,1,3,151,1
13,77.85298895564301,1,3,207,1
14,47.22030530052143,1,3,49,1
15,28.640600899463607,1,3,24,1
16,17.371422356508447,1,3,13,1
17,10.536311224567726,1,3,17,1
18,6.390602091135406,1,3,4,1
19,3.876099794341826,1,3,4,1
20,2.3509755600225617,1,3,2,1
21,1.4259400723476574,1,3,2,1
22,0.864877164468453,1,3,2,1
23,0.5245749951609469,1,3,1,1
24,0.31817110703013896,1,3,0,1
25,0.19298070653803734,1,3,0,1
1,1.864637021484108,1,4,4,1
2,12.428811326502142,1,4,20,1
3,69.5847003686196,1,4,85,1
4,356.52263070104726,1,4,160,1
5,1264.292060948966,1,4,1559,1
6,1969.7036487819362,1,4,535,1
7,1488.6776189189482,1,4,675,1
8,918.7208658807958,1,4,751,1
9,557.6994419025395,1,4,568,1
10,338.28413469563475,1,4,165,1
11,205.1821039457509,1,4,397,1
12,124.44973779057545,1,4,165,1
13,75.48274200888591,1,4,141,1
14,45.78266395981973,1,4,94,1
15,27.768621661475663,1,4,29,1
16,16.84253753826306,1,4,14,1
17,10.215524985993397,1,4,2,1
18,6.196034645473446,1,4,6,1
19,3.758088242202575,1,4,3,1
20,2.2793976840230243,1,4,8,1
21,1.3825257470907673,1,4,2,1
22,0.8385449561183123,1,4,0,1
23,0.5086036499469628,1,4,0,1
24,0.308483964201514,1,4,0,1
25,0.18710513789028482,1,4,0,1
1,1.5851227216153134,1,1,1,2
2,8.83870458459217,1,1,2,2
3,41.73385526521061,1,1,25,2
4,188.36955387999848,1,1,381,2
5,713.2699385483762,1,1,1157,2
6,1630.5725813722852,1,1,987,2
7,1778.6480099470982,1,1,2979,2
8,1222.768154316257,1,1,1210,2
9,752.1726014094875,1,1,560,2
10,456.8665226256371,1,1,548,2
11,277.1593701362526,1,1,183,2
12,168.11330862637806,1,1,254,2
13,101.9674952018031,1,1,109,2
14,61.84689502429865,1,1,128,2
15,37.51222317054817,1,1,34,2
16,22.752398062900284,1,1,19,2
17,13.800070554881131,1,1,12,2
18,8.370190162286235,1,1,4,2
19,5.076791198549472,1,1,0,2
20,3.079238150312449,1,1,2,2
21,1.867657694099762,1,1,3,2
22,1.132795006464221,1,1,0,2
23,0.6870770204623113,1,1,0,2
24,0.4167346212325356,1,1,1,2
25,0.25276317741099774,1,1,2,2
1,1.7818413517227678,1,2,2,2
2,11.117557376401715,1,2,13,2
3,58.683439386138105,1,2,53,2
4,288.62106500799024,1,2,234,2
5,1061.5082610561785,1,2,1759,2
6,1906.0225666201788,1,2,2547,2
7,1601.864827347118,1,2,2381,2
8,1009.4393886399021,1,2,1084,2
9,613.8080972361795,1,2,1828,2
10,372.3713711095261,1,2,254,2
11,225.86189548289985,1,2,270,2
12,136.9934007287966,1,2,346,2
13,83.09103161068197,1,2,79,2
14,50.397380932024134,1,2,80,2
15,30.567611534396747,1,2,35,2
16,18.540221224332527,1,2,26,2
17,11.245227597823032,1,2,4,2
18,6.820583810750577,1,2,8,2
19,4.136898146814929,1,2,4,2
20,2.509158490923255,1,2,3,2
21,1.5218833052122136,1,2,2,2
22,0.9230699374020332,1,2,0,2
23,0.559870852941458,1,2,0,2
24,0.3395792216069822,1,2,0,2
25,0.2059654416561898,1,2,0,2
1,1.8407634014772252,1,3,2,2
2,11.99267474786227,1,3,15,2
3,65.8448030303813,1,3,17,2
4,332.92357251135877,1,3,363,2
5,1196.6602601636155,1,3,349,2
6,1954.7095567272106,1,3,2951,2
7,1526.185473904823,1,3,525,2
8,947.1530341819916,1,3,1713,2
9,575.1895331044834,1,3,313,2
10,348.9044324647002,1,3,333,2
11,211.62470940737967,1,3,185,2
12,128.35754549572812,1,3,89,2
13,77.85298895564301,1,3,53,2
14,47.22030530052143,1,3,60,2
15,28.640600899463607,1,3,22,2
16,17.371422356508447,1,3,9,2
17,10.536311224567726,1,3,4,2
18,6.390602091135406,1,3,7,2
19,3.876099794341826,1,3,1,2
20,2.3509755600225617,1,3,4,2
21,1.4259400723476574,1,3,0,2
22,0.864877164468453,1,3,1,2
23,0.5245749951609469,1,3,0,2
24,0.31817110703013896,1,3,0,2
25,0.19298070653803734,1,3,0,2
1,1.864637021484108,1,4,5,2
2,12.428811326502142,1,4,15,2
3,69.5847003686196,1,4,63,2
4,356.52263070104726,1,4,559,2
5,1264.292060948966,1,4,1436,2
6,1969.7036487819362,1,4,1102,2
7,1488.6776189189482,1,4,999,2
8,918.7208658807958,1,4,943,2
9,557.6994419025395,1,4,1224,2
10,338.28413469563475,1,4,566,2
11,205.1821039457509,1,4,191,2
12,124.44973779057545,1,4,80,2
13,75.48274200888591,1,4,36,2
14,45.78266395981973,1,4,44,2
15,27.768621661475663,1,4,61,2
16,16.84253753826306,1,4,23,2
17,10.215524985993397,1,4,8,2
18,6.196034645473446,1,4,5,2
19,3.758088242202575,1,4,5,2
20,2.2793976840230243,1,4,2,2
21,1.3825257470907673,1,4,2,2
22,0.8385449561183123,1,4,0,2
23,0.5086036499469628,1,4,0,2
24,0.308483964201514,1,4,0,2
25,0.18710513789028482,1,4,1,2
1,1.5851227216153134,1,1,0,3
2,8.83870458459217,1,1,19,3
3,41.73385526521061,1,1,47,3
4,188.36955387999848,1,1,238,3
5,713.2699385483762,1,1,1046,3
6,1630.5725813722852,1,1,1962,3
7,1778.6480099470982,1,1,1650,3
8,1222.768154316257,1,1,1670,3
9,752.1726014094875,1,1,701,3
10,456.8665226256371,1,1,73,3
11,277.1593701362526,1,1,633,3
12,168.11330862637806,1,1,79,3
13,101.9674952018031,1,1,71,3
14,61.84689502429865,1,1,28,3
15,37.51222317054817,1,1,70,3
16,22.752398062900284,1,1,35,3
17,13.800070554881131,1,1,3,3
18,8.370190162286235,1,1,7,3
19,5.076791198549472,1,1,1,3
20,3.079238150312449,1,1,4,3
21,1.867657694099762,1,1,0,3
22,1.132795006464221,1,1,0,3
23,0.6870770204623113,1,1,0,3
24,0.4167346212325356,1,1,0,3
25,0.25276317741099774,1,1,0,3
1,1.7818413517227678,1,2,4,3
2,11.117557376401715,1,2,6,3
3,58.683439386138105,1,2,89,3
4,288.62106500799024,1,2,199,3
5,1061.5082610561785,1,2,301,3
6,1906.0225666201788,1,2,1868,3
7,1601.864827347118,1,2,3658,3
8,1009.4393886399021,1,2,750,3
9,613.8080972361795,1,2,338,3
10,372.3713711095261,1,2,294,3
11,225.86189548289985,1,2,226,3
12,136.9934007287966,1,2,50,3
13,83.09103161068197,1,2,26,3
14,50.397380932024134,1,2,133,3
15,30.567611534396747,1,2,50,3
16,18.540221224332527,1,2,20,3
17,11.245227597823032,1,2,6,3
18,6.820583810750577,1,2,3,3
19,4.136898146814929,1,2,6,3
20,2.509158490923255,1,2,5,3
21,1.5218833052122136,1,2,5,3
22,0.9230699374020332,1,2,0,3
23,0.559870852941458,1,2,1,3
24,0.3395792216069822,1,2,0,3
25,0.2059654416561898,1,2,0,3
1,1.8407634014772252,1,3,0,3
2,11.99267474786227,1,3,13,3
3,65.8448030303813,1,3,34,3
4,332.92357251135877,1,3,136,3
5,1196.6602601636155,1,3,861,3
6,1954.7095567272106,1,3,1606,3
7,1526.185473904823,1,3,1813,3
8,947.1530341819916,1,3,932,3
9,575.1895331044834,1,3,636,3
10,348.9044324647002,1,3,328,3
11,211.62470940737967,1,3,120,3
12,128.35754549572812,1,3,143,3
13,77.85298895564301,1,3,110,3
14,47.22030530052143,1,3,65,3
15,28.640600899463607,1,3,26,3
16,17.371422356508447,1,3,29,3
17,10.536311224567726,1,3,7,3
18,6.390602091135406,1,3,2,3
19,3.876099794341826,1,3,2,3
20,2.3509755600225617,1,3,6,3
21,1.4259400723476574,1,3,1,3
22,0.864877164468453,1,3,2,3
23,0.5245749951609469,1,3,0,3
24,0.31817110703013896,1,3,0,3
25,0.19298070653803734,1,3,0,3
1,1.864637021484108,1,4,2,3
2,12.428811326502142,1,4,25,3
3,69.5847003686196,1,4,55,3
4,356.52263070104726,1,4,621,3
5,1264.292060948966,1,4,1385,3
6,1969.7036487819362,1,4,1776,3
7,1488.6776189189482,1,4,967,3
8,918.7208658807958,1,4,997,3
9,557.6994419025395,1,4,448,3
10,338.28413469563475,1,4,292,3
11,205.1821039457509,1,4,40,3
12,124.44973779057545,1,4,189,3
13,75.48274200888591,1,4,150,3
14,45.78266395981973,1,4,19,3
15,27.768621661475663,1,4,3,3
16,16.84253753826306,1,4,29,3
17,10.215524985993397,1,4,4,3
18,6.196034645473446,1,4,6,3
19,3.758088242202575,1,4,0,3
20,2.2793976840230243,1,4,5,3
21,1.3825257470907673,1,4,1,3
22,0.8385449561183123,1,4,1,3
23,0.5086036499469628,1,4,0,3
24,0.308483964201514,1,4,0,3
25,0.18710513789028482,1,4,0,3
1,1.5851227216153134,1,1,0,4
2,8.83870458459217,1,1,9,4
3,41.73385526521061,1,1,68,4
4,188.36955387999848,1,1,417,4
5,713.2699385483762,1,1,357,4
6,1630.5725813722852,1,1,1655,4
7,1778.6480099470982,1,1,690,4
8,1222.768154316257,1,1,787,4
9,752.1726014094875,1,1,1319,4
10,456.8665226256371,1,1,689,4
11,277.1593701362526,1,1,197,4
12,168.11330862637806,1,1,94,4
13,101.9674952018031,1,1,56,4
14,61.84689502429865,1,1,35,4
15,37.51222317054817,1,1,25,4
16,22.752398062900284,1,1,16,4
17,13.800070554881131,1,1,21,4
18,8.370190162286235,1,1,22,4
19,5.076791198549472,1,1,8,4
20,3.079238150312449,1,1,0,4
21,1.867657694099762,1,1,0,4
22,1.132795006464221,1,1,3,4
23,0.6870770204623113,1,1,0,4
24,0.4167346212325356,1,1,0,4
25,0.25276317741099774,1,1,0,4
1,1.7818413517227678,1,2,4,4
2,11.117557376401715,1,2,15,4
3,58.683439386138105,1,2,17,4
4,288.62106500799024,1,2,366,4
5,1061.5082610561785,1,2,699,4
6,1906.0225666201788,1,2,1201,4
7,1601.864827347118,1,2,2286,4
8,1009.4393886399021,1,2,1213,4
9,613.8080972361795,1,2,518,4
10,372.3713711095261,1,2,460,4
11,225.86189548289985,1,2,168,4
12,136.9934007287966,1,2,79,4
13,83.09103161068197,1,2,47,4
14,50.397380932024134,1,2,48,4
15,30.567611534396747,1,2,21,4
16,18.540221224332527,1,2,18,4
17,11.245227597823032,1,2,23,4
18,6.820583810750577,1,2,17,4
19,4.136898146814929,1,2,3,4
20,2.509158490923255,1,2,1,4
21,1.5218833052122136,1,2,1,4
22,0.9230699374020332,1,2,0,4
23,0.559870852941458,1,2,1,4
24,0.3395792216069822,1,2,1,4
25,0.2059654416561898,1,2,0,4
1,1.8407634014772252,1,3,1,4
2,11.99267474786227,1,3,19,4
3,65.8448030303813,1,3,31,4
4,332.92357251135877,1,3,239,4
5,1196.6602601636155,1,3,852,4
