time,x,E_order,I_order,y,dataset
1,0.05314371792033956,1,1,0,1
2,0.13300036435750617,1,1,0,1
3,0.1902348917646315,1,1,0,1
4,0.23866830620794222,1,1,0,1
5,0.28571979053824514,1,1,0,1
6,0.33563246004711655,1,1,0,1
7,0.3911173464503199,1,1,0,1
8,0.4541979297485894,1,1,1,1
9,0.5266516326032002,1,1,1,1
10,0.6102493065318138,1,1,0,1
11,0.706894828893061,1,1,0,1
12,0.8187168783853185,1,1,1,1
13,0.9481396527537322,1,1,0,1
14,1.0979465245896396,1,1,0,1
15,1.2713442147429141,1,1,1,1
16,1.4720318644781116,1,1,5,1
17,1.7042778181947753,1,1,1,1
18,1.9730061806579258,1,1,0,1
19,2.2838948729213087,1,1,3,1
20,2.643486764036357,1,1,1,1
21,3.059315383591528,1,1,3,1
22,3.5400466518378515,1,1,2,1
23,4.095637947675005,1,1,2,1
24,4.7375156226092585,1,1,11,1
25,5.478771708970108,1,1,10,1
26,6.33438000053745,1,1,6,1
27,7.321430825005358,1,1,10,1
28,8.459382582099742,1,1,9,1
29,9.770326366490245,1,1,2,1
30,11.279257581852633,1,1,4,1
31,13.014345204566851,1,1,6,1
32,15.007185070104057,1,1,6,1
33,17.293018012746415,1,1,11,1
34,19.910886671968825,1,1,27,1
35,22.903696103756005,1,1,37,1
36,26.31813291018551,1,1,51,1
37,30.204385510275927,1,1,39,1
38,34.61559480560541,1,1,14,1
39,39.60695070481796,1,1,55,1
40,45.23433731295137,1,1,48,1
41,51.552420561548786,1,1,50,1
42,58.612070350215276,1,1,78,1
43,66.45701996383332,1,1,68,1
44,75.11969504936292,1,1,34,1
45,84.61620014351774,1,1,128,1
46,94.94053987515815,1,1,73,1
47,106.05827968814481,1,1,140,1
48,117.9000173429248,1,1,46,1
49,130.355232708254,1,1,166,1
50,143.26728753748876,1,1,73,1
51,156.4305211738847,1,1,202,1
52,169.5904791751227,1,1,72,1
53,182.44825755055967,1,1,230,1
54,194.66968899934773,1,1,361,1
55,205.89960951129592,1,1,270,1
56,215.78074504438473,1,1,191,1
57,223.97593762054157,1,1,269,1
58,230.19164347582455,1,1,337,1
59,234.20007689329714,1,1,126,1
60,235.85722176717172,1,1,188,1
61,235.11429109534856,1,1,240,1
62,232.02105906163433,1,1,187,1
63,226.7206628086683,1,1,250,1
64,219.43671778318776,1,1,189,1
65,210.4546388713452,1,1,790,1
66,200.09970013561997,1,1,91,1
67,188.71450934431323,1,1,114,1
68,176.63826081906973,1,1,157,1
69,164.18950076207148,1,1,34,1
70,151.65337437350354,1,1,95,1
71,139.27359120020537,1,1,78,1
72,127.24876109320667,1,1,76,1
73,115.73237186805818,1,1,80,1
74,104.83550043203468,1,1,71,1
75,94.63133496120645,1,1,152,1
76,85.16068426588754,1,1,68,1
77,76.43780974513993,1,1,82,1
78,68.45609310746386,1,1,68,1
79,61.19322046349862,1,1,52,1
80,54.61570433534598,1,1,185,1
81,48.68267343112984,1,1,51,1
