time,x,E_order,I_order,y,dataset,disp
1,0.02115409535117041,1,1,0,1,phi^-1 ~'= 1/3'
2,0.05610299640439531,1,1,0,1,phi^-1 ~'= 1/3'
3,0.08315453364560055,1,1,0,1,phi^-1 ~'= 1/3'
4,0.10536857657322729,1,1,0,1,phi^-1 ~'= 1/3'
5,0.12480043382576156,1,1,0,1,phi^-1 ~'= 1/3'
6,0.14284563971781128,1,1,0,1,phi^-1 ~'= 1/3'
7,0.16046784786380264,1,1,1,1,phi^-1 ~'= 1/3'
8,0.17834960279123813,1,1,0,1,phi^-1 ~'= 1/3'
9,0.19699223807139843,1,1,0,1,phi^-1 ~'= 1/3'
10,0.21678222784347856,1,1,0,1,phi^-1 ~'= 1/3'
11,0.2380354313877482,1,1,0,1,phi^-1 ~'= 1/3'
12,0.2610267851719126,1,1,0,1,phi^-1 ~'= 1/3'
13,0.28601043266190285,1,1,0,1,phi^-1 ~'= 1/3'
14,0.31323358996067174,1,1,0,1,phi^-1 ~'= 1/3'
15,0.3429463286124417,1,1,0,1,phi^-1 ~'= 1/3'
16,0.37540872007158566,1,1,0,1,phi^-1 ~'= 1/3'
17,0.41089630027603175,1,1,0,1,phi^-1 ~'= 1/3'
18,0.44970449226408604,1,1,2,1,phi^-1 ~'= 1/3'
19,0.4921524135761173,1,1,0,1,phi^-1 ~'= 1/3'
20,0.538586356152531,1,1,2,1,phi^-1 ~'= 1/3'
21,0.58938313505901,1,1,2,1,phi^-1 ~'= 1/3'
22,0.6449534424504915,1,1,0,1,phi^-1 ~'= 1/3'
23,0.70574530403426206,1,1,0,1,phi^-1 ~'= 1/3'
24,0.7722477098439899,1,1,0,1,phi^-1 ~'= 1/3'
25,0.8449944747171809,1,1,0,1,phi^-1 ~'= 1/3'
26,0.924568373381284,1,1,1,1,phi^-1 ~'= 1/3'
27,1.0116055884397053,1,1,1,1,phi^-1 ~'= 1/3'
28,1.10680050543092,1,1,0,1,phi^-1 ~'= 1/3'
29,1.2109108865804536,1,1,1,1,phi^-1 ~'= 1/3'
30,1.3247634532348247,1,1,2,1,phi^-1 ~'= 1/3'
31,1.4492599058016573,1,1,0,1,phi^-1 ~'= 1/3'
32,1.5853834089803058,1,1,1,1,phi^-1 ~'= 1/3'
33,1.7342055688788136,1,1,4,1,phi^-1 ~'= 1/3'
34,1.8968939270393683,1,1,2,1,phi^-1 ~'= 1/3'
35,2.0747199942097723,1,1,9,1,phi^-1 ~'= 1/3'
36,2.2690678436755363,1,1,3,1,phi^-1 ~'= 1/3'
37,2.48144327985899,1,1,4,1,phi^-1 ~'= 1/3'
38,2.7134835924266127,1,1,1,1,phi^-1 ~'= 1/3'
39,2.9669678990129924,1,1,1,1,phi^-1 ~'= 1/3'
40,3.2438280705171323,1,1,6,1,phi^-1 ~'= 1/3'
41,3.5461602213488916,1,1,1,1,phi^-1 ~'= 1/3'
42,3.8762367325372225,1,1,4,1,phi^-1 ~'= 1/3'
43,4.236518757731844,1,1,9,1,phi^-1 ~'= 1/3'
44,4.6296691402412975,1,1,6,1,phi^-1 ~'= 1/3'
45,5.058565642687924,1,1,7,1,phi^-1 ~'= 1/3'
46,5.526314358888378,1,1,5,1,phi^-1 ~'= 1/3'
47,6.0362631393837205,1,1,12,1,phi^-1 ~'= 1/3'
48,6.592014816785806,1,1,7,1,phi^-1 ~'= 1/3'
49,7.197439963873023,1,1,0,1,phi^-1 ~'= 1/3'
50,7.856688855240378,1,1,11,1,phi^-1 ~'= 1/3'
51,8.574202231393812,1,1,2,1,phi^-1 ~'= 1/3'
52,9.354720381652214,1,1,9,1,phi^-1 ~'= 1/3'
53,10.203289968426049,1,1,11,1,phi^-1 ~'= 1/3'
54,11.125267909956762,1,1,5,1,phi^-1 ~'= 1/3'
55,12.12632152140037,1,1,14,1,phi^-1 ~'= 1/3'
56,13.212423985734489,1,1,9,1,phi^-1 ~'= 1/3'
57,14.38984408762633,1,1,8,1,phi^-1 ~'= 1/3'
58,15.66512899738754,1,1,15,1,phi^-1 ~'= 1/3'
59,17.045078742022326,1,1,3,1,phi^-1 ~'= 1/3'
60,18.536710851337915,1,1,12,1,phi^-1 ~'= 1/3'
61,20.14721352634035,1,1,13,1,phi^-1 ~'= 1/3'
62,21.88388555428284,1,1,19,1,phi^-1 ~'= 1/3'
63,23.754061102187052,1,1,5,1,phi^-1 ~'= 1/3'
64,25.76501747396236,1,1,52,1,phi^-1 ~'= 1/3'
65,27.923863934374253,1,1,24,1,phi^-1 ~'= 1/3'
66,30.237409808475377,1,1,54,1,phi^-1 ~'= 1/3'
67,32.71201028340107,1,1,24,1,phi^-1 ~'= 1/3'
68,35.35338869898277,1,1,37,1,phi^-1 ~'= 1/3'
69,38.16643464426244,1,1,31,1,phi^-1 ~'= 1/3'
70,41.1549779081613,1,1,36,1,phi^-1 ~'= 1/3'
71,44.32153929066794,1,1,42,1,phi^-1 ~'= 1/3'
72,47.667060485644356,1,1,18,1,phi^-1 ~'= 1/3'
73,51.19061670609199,1,1,34,1,phi^-1 ~'= 1/3'
74,54.88911742901132,1,1,80,1,phi^-1 ~'= 1/3'
75,58.757002558419686,1,1,34,1,phi^-1 ~'= 1/3'
76,62.78594338107996,1,1,55,1,phi^-1 ~'= 1/3'
77,66.9645598247298,1,1,41,1,phi^-1 ~'= 1/3'
78,71.27816758926201,1,1,132,1,phi^-1 ~'= 1/3'
79,75.70857053443058,1,1,65,1,phi^-1 ~'= 1/3'
80,80.23391506508688,1,1,67,1,phi^-1 ~'= 1/3'
81,84.82862392323477,1,1,79,1,phi^-1 ~'= 1/3'
82,89.46342653382635,1,1,90,1,phi^-1 ~'= 1/3'
83,94.10550163279413,1,1,67,1,phi^-1 ~'= 1/3'
84,98.71874515309605,1,1,39,1,phi^-1 ~'= 1/3'
85,103.26417216119125,1,1,163,1,phi^-1 ~'= 1/3'
86,107.70045604268967,1,1,232,1,phi^-1 ~'= 1/3'
87,111.98460129794671,1,1,137,1,phi^-1 ~'= 1/3'
88,116.0727385546054,1,1,193,1,phi^-1 ~'= 1/3'
89,119.9210222236286,1,1,60,1,phi^-1 ~'= 1/3'
90,123.48660324289767,1,1,167,1,phi^-1 ~'= 1/3'
91,126.7286422781549,1,1,177,1,phi^-1 ~'= 1/3'
92,129.60932330819287,1,1,141,1,phi^-1 ~'= 1/3'
93,132.09482435944847,1,1,131,1,phi^-1 ~'= 1/3'
94,134.1562017607921,1,1,74,1,phi^-1 ~'= 1/3'
95,135.77014690734086,1,1,118,1,phi^-1 ~'= 1/3'
96,136.91958010530743,1,1,109,1,phi^-1 ~'= 1/3'
97,137.5940542636904,1,1,130,1,phi^-1 ~'= 1/3'
98,137.78995137097172,1,1,106,1,phi^-1 ~'= 1/3'
99,137.51046600431846,1,1,96,1,phi^-1 ~'= 1/3'
100,136.76538161371764,1,1,193,1,phi^-1 ~'= 1/3'
101,135.57065605630578,1,1,232,1,phi^-1 ~'= 1/3'
102,133.94784199321793,1,1,165,1,phi^-1 ~'= 1/3'
103,131.9233746716477,1,1,138,1,phi^-1 ~'= 1/3'
104,129.52776392747683,1,1,196,1,phi^-1 ~'= 1/3'
105,126.79472886417125,1,1,87,1,phi^-1 ~'= 1/3'
106,123.76031275427158,1,1,112,1,phi^-1 ~'= 1/3'
107,120.46201264061074,1,1,234,1,phi^-1 ~'= 1/3'
108,116.93795339453482,1,1,10,1,phi^-1 ~'= 1/3'
109,113.2261301924791,1,1,143,1,phi^-1 ~'= 1/3'
110,109.36373707148323,1,1,68,1,phi^-1 ~'= 1/3'
111,105.38659293088313,1,1,54,1,phi^-1 ~'= 1/3'
112,101.32867047795116,1,1,181,1,phi^-1 ~'= 1/3'
113,97.2217284704393,1,1,45,1,phi^-1 ~'= 1/3'
114,93.09504337254475,1,1,126,1,phi^-1 ~'= 1/3'
115,88.97523328939678,1,1,162,1,phi^-1 ~'= 1/3'
116,84.88616476680636,1,1,100,1,phi^-1 ~'= 1/3'
117,80.84893166062284,1,1,39,1,phi^-1 ~'= 1/3'
118,76.88189467318352,1,1,57,1,phi^-1 ~'= 1/3'
119,73.00077018043521,1,1,49,1,phi^-1 ~'= 1/3'
120,69.21875748497405,1,1,77,1,phi^-1 ~'= 1/3'
121,65.54669448607092,1,1,46,1,phi^-1 ~'= 1/3'
122,61.993232833201546,1,1,24,1,phi^-1 ~'= 1/3'
