time,x,E_order,I_order,y,dataset,disp
1,0.7231349374277181,1,1,2,1,phi^-1 ~'= 1/3'
2,2.592017526371689,1,1,4,1,phi^-1 ~'= 1/3'
3,7.117860144233704,1,1,2,1,phi^-1 ~'= 1/3'
4,19.264202938392287,1,1,7,1,phi^-1 ~'= 1/3'
5,51.67066586301735,1,1,20,1,phi^-1 ~'= 1/3'
6,135.52052712580388,1,1,268,1,phi^-1 ~'= 1/3'
7,335.71325684110525,1,1,338,1,phi^-1 ~'= 1/3'
8,728.36319958501,1,1,746,1,phi^-1 ~'= 1/3'
9,1226.2381864883787,1,1,309,1,phi^-1 ~'= 1/3'
10,1450.2159147498373,1,1,1380,1,phi^-1 ~'= 1/3'
11,1236.4809069037447,1,1,963,1,phi^-1 ~'= 1/3'
12,864.2286816026663,1,1,655,1,phi^-1 ~'= 1/3'
13,554.1460428815599,1,1,624,1,phi^-1 ~'= 1/3'
14,344.21893616349644,1,1,230,1,phi^-1 ~'= 1/3'
15,211.33063577201938,1,1,164,1,phi^-1 ~'= 1/3'
16,129.1345843578738,1,1,187,1,phi^-1 ~'= 1/3'
17,78.74268384937204,1,1,140,1,phi^-1 ~'= 1/3'
18,47.9669545949173,1,1,39,1,phi^-1 ~'= 1/3'
19,29.205497459422077,1,1,39,1,phi^-1 ~'= 1/3'
20,17.778598011012946,1,1,35,1,phi^-1 ~'= 1/3'
21,10.822073656225257,1,1,23,1,phi^-1 ~'= 1/3'
22,6.587897827106644,1,1,10,1,phi^-1 ~'= 1/3'
23,4.010835585025234,1,1,8,1,phi^-1 ~'= 1/3'
24,2.442268509898895,1,1,2,1,phi^-1 ~'= 1/3'
25,1.4874257647061313,1,1,2,1,phi^-1 ~'= 1/3'
26,0.9060854375447889,1,1,2,1,phi^-1 ~'= 1/3'
27,0.5520782864632565,1,1,1,1,phi^-1 ~'= 1/3'
28,0.3364600377926763,1,1,0,1,phi^-1 ~'= 1/3'
29,0.2051019523096329,1,1,0,1,phi^-1 ~'= 1/3'
30,0.125057779277995,1,1,0,1,phi^-1 ~'= 1/3'
1,0.8082990658314515,1,2,1,1,phi^-1 ~'= 1/3'
2,3.172797315415183,1,2,4,1,phi^-1 ~'= 1/3'
3,9.51137872116648,1,2,13,1,phi^-1 ~'= 1/3'
4,28.110124322361457,1,2,23,1,phi^-1 ~'= 1/3'
5,81.90152895205742,1,2,31,1,phi^-1 ~'= 1/3'
6,229.17716207397257,1,2,138,1,phi^-1 ~'= 1/3'
7,575.9711708459901,1,2,160,1,phi^-1 ~'= 1/3'
8,1138.553296788195,1,2,412,1,phi^-1 ~'= 1/3'
9,1525.5428197501697,1,2,1666,1,phi^-1 ~'= 1/3'
10,1369.848466157684,1,2,868,1,phi^-1 ~'= 1/3'
11,960.321885524605,1,2,1680,1,phi^-1 ~'= 1/3'
12,610.6046831559033,1,2,460,1,phi^-1 ~'= 1/3'
13,376.70232296147697,1,2,320,1,phi^-1 ~'= 1/3'
14,230.2453327998719,1,2,258,1,phi^-1 ~'= 1/3'
15,140.26675498395798,1,2,32,1,phi^-1 ~'= 1/3'
16,85.33524221826156,1,2,114,1,phi^-1 ~'= 1/3'
17,51.88299060712325,1,2,22,1,phi^-1 ~'= 1/3'
18,31.53401876638509,1,2,42,1,phi^-1 ~'= 1/3'
19,19.16268139731801,1,2,19,1,phi^-1 ~'= 1/3'
