L_min,L_max,error,sqr_error,n_successes
5,15,9,9,11
5,16,10,10,10
6,16,10,10,10
5,17,12,12,8
6,17,13,13,7
7,17,12,12,8
5,18,11,11,9
6,18,11,11,9
7,18,10,10,10
8,18,10,10,10
5,19,11,11,9
6,19,11,11,9
7,19,12,12,8
8,19,13,13,7
9,19,12,12,8
5,20,14,14,6
6,20,14,14,6
7,20,14,14,6
8,20,15,15,5
9,20,15,15,5
10,20,14,14,6
5,21,15,15,5
6,21,14,14,6
7,21,15,15,5
8,21,15,15,5
9,21,16,16,4
10,21,15,15,5
11,21,14,14,6
5,22,14,14,6
6,22,14,14,6
7,22,14,14,6
8,22,14,14,6
9,22,15,15,5
10,22,16,16,4
11,22,15,15,5
12,22,16,16,4
5,23,14,14,6
6,23,15,15,5
7,23,14,14,6
8,23,14,14,6
9,23,15,15,5
10,23,15,15,5
11,23,15,15,5
12,23,16,16,4
13,23,16,16,4
5,24,16,16,4
6,24,15,15,5
7,24,15,15,5
8,24,15,15,5
9,24,16,16,4
10,24,14,14,6
11,24,16,16,4
12,24,16,16,4
13,24,16,16,4
14,24,17,17,3
5,25,15,15,5
6,25,14,14,6
7,25,14,14,6
8,25,15,15,5
9,25,15,15,5
10,25,16,16,4
11,25,14,14,6
12,25,15,15,5
13,25,16,16,4
14,25,18,18,2
15,25,18,18,2
5,26,16,16,4
6,26,15,15,5
7,26,13,13,7
8,26,16,16,4
9,26,16,16,4
10,26,17,17,3
11,26,14,14,6
12,26,16,16,4
13,26,17,17,3
14,26,18,18,2
15,26,18,18,2
16,26,16,16,4
5,27,16,16,4
6,27,16,16,4
7,27,14,14,6
8,27,16,16,4
9,27,17,17,3
10,27,17,17,3
11,27,15,15,5
12,27,16,16,4
13,27,17,17,3
14,27,18,18,2
15,27,18,18,2
16,27,16,16,4
17,27,16,16,4
5,28,16,16,4
6,28,16,16,4
7,28,14,14,6
8,28,17,17,3
9,28,16,16,4
10,28,16,16,4
11,28,15,15,5
12,28,16,16,4
13,28,15,15,5
14,28,17,17,3
15,28,17,17,3
16,28,16,16,4
17,28,16,16,4
18,28,16,16,4
5,29,16,16,4
6,29,16,16,4
7,29,14,14,6
8,29,17,17,3
9,29,16,16,4
10,29,16,16,4
11,29,15,15,5
12,29,15,15,5
13,29,16,16,4
14,29,17,17,3
15,29,17,17,3
16,29,16,16,4
17,29,16,16,4
18,29,16,16,4
19,29,13,13,7
5,30,16,16,4
6,30,16,16,4
7,30,14,14,6
8,30,17,17,3
9,30,16,16,4
10,30,16,16,4
11,30,15,15,5
12,30,15,15,5
13,30,16,16,4
14,30,17,17,3
15,30,18,18,2
16,30,16,16,4
17,30,16,16,4
18,30,16,16,4
19,30,13,13,7
20,30,11,11,9
5,31,16,16,4
6,31,16,16,4
7,31,15,15,5
8,31,17,17,3
9,31,16,16,4
10,31,16,16,4
11,31,14,14,6
