L_min,L_max,error,sqr_error,n_successes
5,15,22,32,3
5,16,19,25,4
6,16,22,30,2
5,17,22,30,2
6,17,23,31,1
7,17,23,33,2
5,18,20,28,4
6,18,22,30,2
7,18,26,40,1
8,18,25,39,2
5,19,17,21,5
6,19,22,30,2
7,19,20,28,4
8,19,23,33,2
9,19,24,36,2
5,20,21,27,2
6,20,18,22,4
7,20,19,23,3
8,20,21,25,1
9,20,22,28,1
10,20,20,24,2
5,21,19,21,2
6,21,19,23,3
7,21,20,24,2
8,21,21,25,1
9,21,20,24,2
10,21,21,27,2
11,21,18,22,4
5,22,16,18,5
6,22,19,23,3
7,22,18,22,4
8,22,18,22,4
9,22,19,23,3
10,22,19,23,3
11,22,19,23,3
12,22,21,27,2
5,23,17,19,4
6,23,19,23,3
7,23,18,22,4
8,23,16,18,5
9,23,19,23,3
10,23,18,22,4
11,23,19,23,3
12,23,18,20,3
13,23,18,20,3
5,24,17,19,4
6,24,16,18,5
7,24,16,18,5
8,24,16,18,5
9,24,17,19,4
10,24,14,14,6
11,24,17,19,4
12,24,16,16,4
13,24,16,16,4
14,24,17,17,3
5,25,15,15,5
6,25,14,14,6
7,25,16,18,5
8,25,17,19,4
9,25,17,19,4
10,25,16,16,4
11,25,14,14,6
12,25,15,15,5
13,25,16,16,4
14,25,18,18,2
15,25,18,18,2
5,26,18,20,3
6,26,15,15,5
7,26,15,17,6
8,26,18,20,3
9,26,18,20,3
10,26,17,17,3
11,26,14,14,6
12,26,16,16,4
13,26,17,17,3
14,26,18,18,2
15,26,18,18,2
16,26,18,20,3
5,27,18,20,3
6,27,20,24,2
7,27,16,18,5
8,27,18,20,3
9,27,19,21,2
10,27,19,21,2
11,27,19,23,3
12,27,16,16,4
13,27,17,17,3
14,27,18,18,2
15,27,18,18,2
16,27,18,20,3
17,27,18,20,3
5,28,18,20,3
6,28,20,24,2
7,28,16,18,5
8,28,19,21,2
9,28,18,20,3
10,28,20,24,2
11,28,19,23,3
12,28,16,16,4
13,28,15,15,5
14,28,19,21,2
15,28,17,17,3
16,28,18,20,3
17,28,18,20,3
18,28,16,16,4
5,29,18,20,3
6,29,20,24,2
7,29,16,18,5
8,29,19,21,2
9,29,18,20,3
10,29,18,20,3
11,29,19,23,3
12,29,15,15,5
13,29,17,19,4
14,29,19,21,2
15,29,19,21,2
16,29,18,20,3
17,29,18,20,3
18,29,16,16,4
19,29,14,16,7
5,30,18,20,3
6,30,20,24,2
7,30,16,18,5
8,30,19,21,2
9,30,18,20,3
10,30,18,20,3
11,30,19,23,3
12,30,15,15,5
13,30,17,19,4
14,30,19,21,2
15,30,19,21,2
16,30,18,20,3
17,30,18,20,3
18,30,16,16,4
19,30,14,16,7
20,30,15,19,7
5,31,18,20,3
6,31,20,24,2
7,31,17,19,4
8,31,19,21,2
9,31,18,20,3
10,31,22,28,1
11,31,18,22,4
12,31,17,19,4
13,31,17,19,4
14,31,19,21,2
15,31,19,21,2
16,31,18,20,3
17,31,18,20,3
18,31,18,20,3
19,31,17,19,4
20,31,16,22,7
21,31,14,18,8
5,32,18,20,3
6,32,19,23,3
7,32,17,19,4
8,32,19,21,2
9,32,18,20,3
10,32,20,24,2
11,32,18,22,4
12,32,17,19,4
13,32,17,19,4
14,32,19,21,2
15,32,19,21,2
16,32,18,20,3
17,32,18,20,3
18,32,18,20,3
19,32,17,19,4
20,32,18,26,6
21,32,16,22,7
22,32,18,24,5
5,33,18,20,3
6,33,19,23,3
7,33,18,20,3
8,33,19,21,2
9,33,18,20,3
10,33,21,25,1
11,33,19,23,3
12,33,17,19,4
13,33,18,20,3
14,33,19,21,2
15,33,19,21,2
16,33,18,20,3
17,33,18,20,3
18,33,18,20,3
19,33,17,19,4
20,33,19,27,5
21,33,16,20,6
22,33,18,24,5
23,33,17,21,5
5,34,18,20,3
6,34,20,24,2
7,34,18,20,3
8,34,19,21,2
9,34,19,21,2
10,34,22,28,1
11,34,19,23,3
12,34,18,20,3
13,34,18,20,3
14,34,19,21,2
15,34,19,21,2
16,34,18,20,3
17,34,19,21,2
18,34,18,20,3
19,34,17,19,4
20,34,19,27,5
21,34,15,19,7
22,34,18,24,5
23,34,16,20,6
24,34,20,30,5
5,35,17,19,4
6,35,19,23,3
7,35,16,18,5
8,35,18,20,3
9,35,18,20,3
10,35,21,25,1
11,35,20,24,2
12,35,18,20,3
13,35,18,20,3
14,35,19,21,2
15,35,19,21,2
16,35,18,20,3
17,35,18,20,3
18,35,18,20,3
19,35,16,18,5
20,35,16,22,7
21,35,14,18,8
22,35,18,24,5
23,35,15,19,7
24,35,20,30,5
25,35,24,36,2
5,36,17,19,4
6,36,19,23,3
7,36,17,19,4
8,36,17,19,4
9,36,18,20,3
10,36,21,25,1
11,36,20,24,2
12,36,18,20,3
13,36,18,20,3
14,36,18,20,3
15,36,19,21,2
16,36,18,20,3
17,36,19,21,2
18,36,17,19,4
19,36,17,19,4
20,36,17,23,6
21,36,17,23,6
22,36,17,23,6
23,36,16,22,7
24,36,21,33,5
25,36,24,36,2
26,36,25,39,2
5,37,17,19,4
6,37,19,23,3
7,37,17,19,4
8,37,17,19,4
9,37,16,18,5
10,37,20,24,2
11,37,19,23,3
12,37,18,20,3
13,37,18,20,3
14,37,19,21,2
15,37,19,21,2
16,37,18,20,3
17,37,19,21,2
18,37,17,19,4
19,37,18,22,4
20,37,16,22,7
21,37,17,23,6
22,37,16,20,6
23,37,16,22,7
24,37,22,34,4
25,37,24,36,2
26,37,25,37,1
27,37,25,37,1
5,38,17,19,4
6,38,19,23,3
7,38,19,23,3
8,38,17,19,4
9,38,16,18,5
10,38,19,23,3
11,38,18,22,4
12,38,17,19,4
13,38,16,18,5
14,38,18,20,3
15,38,18,20,3
16,38,18,20,3
17,38,19,21,2
18,38,17,19,4
19,38,15,17,6
20,38,17,23,6
21,38,16,20,6
22,38,17,23,6
23,38,17,25,7
24,38,21,31,4
25,38,23,35,3
26,38,26,40,1
27,38,25,37,1
28,38,19,23,3
5,39,17,19,4
6,39,19,23,3
7,39,19,23,3
8,39,17,19,4
9,39,17,19,4
10,39,19,23,3
11,39,19,23,3
12,39,17,19,4
13,39,17,19,4
14,39,19,23,3
15,39,17,19,4
16,39,17,19,4
17,39,15,17,6
18,39,15,17,6
19,39,15,17,6
20,39,16,22,7
21,39,16,22,7
22,39,16,22,7
23,39,14,20,9
24,39,17,25,7
25,39,23,35,3
26,39,25,37,1
27,39,25,37,1
28,39,22,30,2
29,39,20,24,2
5,40,17,19,4
6,40,19,23,3
7,40,19,23,3
8,40,16,18,5
9,40,18,20,3
10,40,20,24,2
11,40,18,22,4
12,40,17,19,4
13,40,17,19,4
14,40,16,18,5
15,40,17,19,4
16,40,16,18,5
17,40,18,20,3
18,40,17,19,4
19,40,14,16,7
20,40,17,23,6
21,40,16,20,6
22,40,15,19,7
23,40,15,21,8
24,40,18,26,6
25,40,23,35,3
26,40,24,36,2
27,40,23,33,2
28,40,20,26,3
29,40,19,23,3
30,40,21,29,3
5,41,17,19,4
6,41,18,22,4
7,41,17,21,5
8,41,16,18,5
9,41,15,17,6
10,41,19,23,3
11,41,17,21,5
12,41,16,18,5
13,41,16,18,5
14,41,21,27,2
15,41,19,23,3
16,41,14,16,7
17,41,14,16,7
18,41,14,16,7
19,41,16,20,6
20,41,15,21,8
21,41,13,17,9
22,41,15,19,7
23,41,17,25,7
24,41,21,31,4
25,41,24,36,2
26,41,24,36,2
27,41,24,36,2
28,41,20,26,3
29,41,19,25,4
30,41,21,31,4
31,41,21,31,4
5,42,16,18,5
6,42,17,21,5
7,42,18,22,4
8,42,17,19,4
9,42,14,16,7
10,42,16,20,6
11,42,16,20,6
12,42,19,25,4
13,42,17,21,5
14,42,19,25,4
15,42,17,21,5
16,42,14,16,7
17,42,14,16,7
18,42,14,16,7
19,42,13,17,9
20,42,16,22,7
21,42,15,19,7
22,42,20,28,4
23,42,18,26,6
24,42,21,31,4
25,42,24,36,2
26,42,24,36,2
27,42,25,37,1
28,42,22,30,2
29,42,24,34,1
30,42,25,37,1
31,42,21,29,3
32,42,23,33,2
5,43,13,15,8
6,43,13,17,9
7,43,14,18,8
8,43,15,17,6
9,43,14,16,7
10,43,16,20,6
11,43,16,20,6
12,43,15,17,6
13,43,16,18,5
14,43,17,21,5
15,43,13,13,7
16,43,14,16,7
17,43,13,15,8
18,43,14,16,7
19,43,13,17,9
20,43,18,28,7
21,43,16,22,7
22,43,19,29,6
23,43,16,24,8
24,43,20,32,6
25,43,26,42,2
26,43,25,39,2
27,43,25,39,2
28,43,24,36,2
29,43,24,36,2
30,43,25,37,1
31,43,25,39,2
32,43,26,42,2
33,43,24,34,1
5,44,14,16,7
6,44,14,18,8
7,44,13,17,9
8,44,13,15,8
9,44,13,15,8
10,44,14,16,7
11,44,16,20,6
12,44,16,18,5
13,44,16,18,5
14,44,15,17,6
15,44,15,15,5
16,44,14,16,7
17,44,12,14,9
18,44,14,16,7
19,44,14,18,8
20,44,19,27,5
21,44,18,26,6
22,44,22,32,3
23,44,20,30,5
24,44,24,38,3
25,44,26,42,2
26,44,25,39,2
27,44,24,36,2
28,44,24,36,2
29,44,24,36,2
30,44,24,36,2
31,44,25,39,2
32,44,25,39,2
33,44,22,30,2
34,44,25,37,1
5,45,15,17,6
6,45,15,19,7
7,45,17,21,5
8,45,16,18,5
9,45,14,16,7
10,45,16,18,5
11,45,16,20,6
12,45,16,18,5
13,45,15,17,6
14,45,18,20,3
15,45,16,16,4
16,45,15,17,6
17,45,14,16,7
18,45,10,12,11
19,45,14,18,8
20,45,17,25,7
21,45,19,27,5
22,45,23,33,2
23,45,20,30,5
24,45,20,32,6
25,45,26,42,2
26,45,28,44,0
27,45,26,38,0
28,45,27,41,0
29,45,27,41,0
30,45,27,41,0
31,45,27,43,1
32,45,27,43,1
33,45,24,34,1
34,45,27,41,0
35,45,26,38,0
5,46,12,14,9
6,46,13,17,9
7,46,15,19,7
8,46,14,16,7
9,46,13,15,8
10,46,16,20,6
11,46,17,21,5
12,46,15,17,6
13,46,13,15,8
14,46,15,19,7
15,46,11,11,9
16,46,14,16,7
17,46,13,15,8
18,46,9,9,11
19,46,15,19,7
20,46,17,25,7
21,46,18,26,6
22,46,22,32,3
23,46,18,28,7
24,46,20,32,6
25,46,26,42,2
26,46,27,43,1
27,46,26,40,1
28,46,26,40,1
29,46,24,36,2
30,46,24,36,2
31,46,24,38,3
32,46,24,38,3
33,46,20,28,4
34,46,21,31,4
35,46,22,32,3
36,46,21,29,3
5,47,11,13,10
6,47,13,17,9
7,47,13,17,9
8,47,12,14,9
9,47,10,12,11
10,47,14,18,8
11,47,13,17,9
12,47,11,13,10
13,47,13,17,9
14,47,15,21,8
15,47,15,19,7
16,47,14,16,7
17,47,12,14,9
18,47,9,9,11
19,47,12,16,10
20,47,17,25,7
21,47,19,27,5
22,47,20,30,5
23,47,21,33,5
24,47,21,33,5
25,47,28,46,1
26,47,25,39,2
27,47,25,39,2
28,47,25,39,2
29,47,22,32,3
30,47,24,36,2
31,47,24,38,3
32,47,22,32,3
33,47,22,32,3
34,47,26,40,1
35,47,24,34,1
36,47,24,34,1
37,47,23,35,3
5,48,12,14,9
6,48,12,16,10
7,48,14,18,8
8,48,14,16,7
9,48,13,15,8
10,48,13,17,9
11,48,13,17,9
12,48,9,9,11
13,48,12,12,8
14,48,14,18,8
15,48,11,11,9
16,48,13,15,8
17,48,13,15,8
18,48,11,13,10
19,48,11,13,10
20,48,19,29,6
21,48,17,25,7
22,48,17,25,7
23,48,20,32,6
24,48,19,31,7
25,48,28,46,1
26,48,26,42,2
27,48,26,42,2
28,48,25,39,2
29,48,24,38,3
30,48,26,42,2
31,48,25,41,3
32,48,25,41,3
33,48,22,34,4
34,48,26,42,2
35,48,24,36,2
36,48,24,36,2
37,48,26,42,2
38,48,26,40,1
5,49,12,14,9
6,49,13,17,9
7,49,12,14,9
8,49,12,14,9
9,49,12,14,9
10,49,12,16,10
11,49,14,18,8
12,49,10,10,10
13,49,9,9,11
14,49,12,14,9
15,49,9,9,11
16,49,11,13,10
17,49,11,13,10
18,49,11,13,10
19,49,13,15,8
20,49,19,29,6
21,49,18,26,6
22,49,19,27,5
23,49,22,34,4
24,49,22,36,5
25,49,27,45,2
26,49,26,42,2
27,49,27,43,1
28,49,24,36,2
29,49,25,39,2
30,49,25,39,2
31,49,24,38,3
32,49,24,38,3
33,49,23,35,3
34,49,27,43,1
35,49,26,40,1
36,49,26,40,1
37,49,24,38,3
38,49,24,36,2
39,49,25,39,2
5,50,14,16,7
6,50,15,19,7
7,50,14,16,7
8,50,12,14,9
9,50,13,15,8
10,50,14,18,8
11,50,14,18,8
12,50,9,9,11
13,50,12,14,9
14,50,12,14,9
15,50,10,10,10
16,50,12,14,9
17,50,13,15,8
18,50,12,14,9
19,50,11,13,10
20,50,20,30,5
21,50,17,25,7
22,50,15,23,9
23,50,18,30,8
24,50,21,35,6
25,50,26,42,2
26,50,25,41,3
27,50,25,41,3
28,50,24,38,3
29,50,21,33,5
30,50,22,34,4
31,50,21,33,5
32,50,24,40,4
33,50,21,33,5
34,50,26,42,2
35,50,25,39,2
36,50,22,34,4
37,50,23,37,4
38,50,23,37,4
39,50,24,38,3
40,50,26,46,4
5,51,12,14,9
6,51,14,18,8
7,51,12,16,10
8,51,11,13,10
9,51,12,14,9
10,51,14,18,8
11,51,11,15,11
12,51,7,7,13
13,51,11,13,10
14,51,9,11,12
15,51,11,13,10
16,51,10,12,11
17,51,15,19,7
18,51,12,14,9
19,51,10,12,11
20,51,20,30,5
21,51,17,25,7
22,51,16,24,8
23,51,22,36,5
24,51,22,36,5
25,51,26,42,2
26,51,26,42,2
27,51,26,42,2
28,51,23,35,3
29,51,20,30,5
30,51,22,34,4
31,51,20,30,5
32,51,19,29,6
33,51,20,32,6
34,51,25,39,2
35,51,25,39,2
36,51,23,33,2
37,51,21,31,4
38,51,23,35,3
39,51,22,36,5
40,51,23,41,6
41,51,25,45,5
5,52,9,11,12
6,52,11,15,11
7,52,12,16,10
8,52,12,14,9
9,52,9,11,12
10,52,12,16,10
11,52,11,15,11
12,52,8,8,12
13,52,11,13,10
14,52,8,10,13
15,52,6,6,14
16,52,11,13,10
17,52,14,18,8
18,52,9,11,12
19,52,10,12,11
20,52,19,29,6
21,52,17,25,7
22,52,17,25,7
23,52,22,36,5
24,52,22,36,5
25,52,27,45,2
26,52,25,41,3
27,52,25,41,3
28,52,24,38,3
29,52,21,33,5
30,52,23,37,4
31,52,20,30,5
32,52,23,37,4
33,52,25,41,3
34,52,26,42,2
35,52,25,39,2
36,52,25,39,2
37,52,24,36,2
38,52,25,39,2
39,52,23,37,4
40,52,25,43,4
41,52,24,38,3
42,52,22,36,5
5,53,9,11,12
6,53,11,15,11
7,53,9,11,12
8,53,11,13,10
9,53,11,13,10
10,53,14,20,9
11,53,11,15,11
12,53,8,8,12
13,53,14,16,7
14,53,7,9,14
15,53,10,12,11
16,53,11,13,10
17,53,14,18,8
18,53,11,13,10
19,53,10,12,11
20,53,20,30,5
21,53,18,26,6
22,53,17,25,7
23,53,21,33,5
24,53,21,33,5
25,53,26,42,2
26,53,26,44,3
27,53,24,40,4
28,53,24,38,3
29,53,19,29,6
30,53,22,36,5
31,53,20,32,6
32,53,19,31,7
33,53,18,30,8
34,53,22,36,5
35,53,22,34,4
36,53,20,30,5
37,53,20,30,5
38,53,21,33,5
39,53,25,43,4
40,53,27,49,4
41,53,26,44,3
42,53,25,45,5
43,53,29,49,1
5,54,12,14,9
6,54,13,17,9
7,54,14,18,8
8,54,14,16,7
9,54,13,15,8
10,54,14,18,8
11,54,14,18,8
12,54,9,9,11
13,54,11,11,9
14,54,10,12,11
15,54,7,7,13
16,54,12,14,9
17,54,11,13,10
18,54,9,11,12
19,54,13,17,9
20,54,18,28,7
21,54,18,28,7
22,54,18,28,7
23,54,20,32,6
24,54,19,29,6
25,54,26,42,2
26,54,27,45,2
27,54,27,45,2
28,54,22,34,4
29,54,17,25,7
30,54,22,36,5
31,54,22,36,5
32,54,23,37,4
33,54,25,41,3
34,54,24,38,3
35,54,22,34,4
36,54,25,39,2
37,54,22,34,4
38,54,23,37,4
39,54,23,39,5
40,54,27,47,3
41,54,27,45,2
42,54,26,46,4
43,54,26,44,3
44,54,25,41,3
