L_min,L_max,error,sqr_error,n_successes
5,15,12,12,8
5,16,10,10,10
6,16,11,11,9
5,17,9,9,11
6,17,10,10,10
7,17,11,11,9
5,18,10,10,10
6,18,10,10,10
7,18,11,11,9
8,18,10,10,10
5,19,11,11,9
6,19,10,10,10
7,19,12,12,8
8,19,10,10,10
9,19,8,8,12
5,20,8,8,12
6,20,9,9,11
7,20,10,10,10
8,20,9,9,11
9,20,6,6,14
10,20,5,5,15
5,21,8,8,12
6,21,9,9,11
7,21,8,8,12
8,21,7,7,13
9,21,8,8,12
10,21,7,7,13
11,21,7,7,13
5,22,7,7,13
6,22,7,7,13
7,22,9,9,11
8,22,5,5,15
9,22,5,5,15
10,22,6,6,14
11,22,6,6,14
12,22,6,6,14
5,23,6,6,14
6,23,7,7,13
7,23,6,6,14
8,23,5,5,15
9,23,4,4,16
10,23,5,5,15
11,23,5,5,15
12,23,5,5,15
13,23,6,6,14
5,24,5,5,15
6,24,6,6,14
7,24,5,5,15
8,24,3,3,17
9,24,4,4,16
10,24,5,5,15
11,24,5,5,15
12,24,5,5,15
13,24,6,6,14
14,24,5,5,15
5,25,1,1,19
6,25,2,2,18
7,25,3,3,17
8,25,2,2,18
9,25,1,1,19
10,25,3,3,17
11,25,3,3,17
12,25,2,2,18
13,25,4,4,16
14,25,2,2,18
15,25,3,3,17
5,26,2,2,18
6,26,2,2,18
7,26,1,1,19
8,26,1,1,19
9,26,1,1,19
10,26,2,2,18
11,26,3,3,17
12,26,1,1,19
13,26,1,1,19
14,26,0,0,20
15,26,2,2,18
16,26,2,2,18
5,27,1,1,19
6,27,1,1,19
7,27,1,1,19
8,27,1,1,19
9,27,1,1,19
10,27,0,0,20
11,27,2,2,18
12,27,1,1,19
13,27,1,1,19
14,27,0,0,20
15,27,1,1,19
16,27,2,2,18
17,27,1,1,19
5,28,2,2,18
6,28,2,2,18
7,28,1,1,19
8,28,1,1,19
9,28,1,1,19
10,28,1,1,19
11,28,2,2,18
12,28,1,1,19
13,28,1,1,19
14,28,0,0,20
15,28,1,1,19
16,28,1,1,19
17,28,1,1,19
18,28,2,2,18
5,29,1,1,19
6,29,2,2,18
7,29,2,2,18
8,29,1,1,19
9,29,1,1,19
10,29,2,2,18
11,29,2,2,18
12,29,1,1,19
13,29,1,1,19
14,29,0,0,20
15,29,1,1,19
16,29,1,1,19
17,29,1,1,19
18,29,1,1,19
19,29,1,1,19
5,30,1,1,19
6,30,2,2,18
7,30,2,2,18
8,30,1,1,19
9,30,1,1,19
10,30,2,2,18
11,30,2,2,18
12,30,1,1,19
13,30,1,1,19
14,30,1,1,19
15,30,1,1,19
16,30,1,1,19
17,30,2,2,18
18,30,1,1,19
19,30,1,1,19
20,30,1,1,19
5,31,2,2,18
6,31,2,2,18
7,31,2,2,18
8,31,2,2,18
9,31,1,1,19
10,31,2,2,18
11,31,2,2,18
12,31,1,1,19
13,31,1,1,19
14,31,1,1,19
15,31,1,1,19
16,31,1,1,19
17,31,2,2,18
18,31,2,2,18
19,31,2,2,18
20,31,2,2,18
21,31,2,2,18
5,32,2,2,18
6,32,2,2,18
7,32,1,1,19
8,32,2,2,18
9,32,1,1,19
10,32,2,2,18
11,32,2,2,18
12,32,1,1,19
13,32,1,1,19
14,32,1,1,19
15,32,1,1,19
16,32,1,1,19
17,32,2,2,18
18,32,2,2,18
19,32,2,2,18
20,32,2,2,18
21,32,2,2,18
22,32,2,2,18
5,33,2,2,18
6,33,3,3,17
7,33,2,2,18
8,33,2,2,18
9,33,1,1,19
10,33,2,2,18
11,33,2,2,18
12,33,1,1,19
13,33,2,2,18
14,33,1,1,19
15,33,2,2,18
16,33,1,1,19
17,33,2,2,18
18,33,2,2,18
19,33,2,2,18
20,33,2,2,18
21,33,2,2,18
22,33,2,2,18
23,33,5,5,15
5,34,1,1,19
6,34,3,3,17
7,34,2,2,18
8,34,2,2,18
9,34,1,1,19
10,34,2,2,18
11,34,2,2,18
12,34,1,1,19
13,34,2,2,18
14,34,1,1,19
15,34,1,1,19
16,34,2,2,18
17,34,2,2,18
18,34,1,1,19
19,34,2,2,18
20,34,2,2,18
21,34,1,1,19
22,34,3,3,17
23,34,6,6,14
24,34,7,7,13
5,35,1,1,19
6,35,2,2,18
7,35,1,1,19
8,35,2,2,18
9,35,1,1,19
10,35,2,2,18
11,35,2,2,18
12,35,1,1,19
13,35,2,2,18
14,35,1,1,19
15,35,1,1,19
16,35,2,2,18
17,35,2,2,18
18,35,1,1,19
19,35,2,2,18
20,35,2,2,18
21,35,1,1,19
22,35,3,3,17
23,35,5,5,15
24,35,7,7,13
25,35,9,9,11
5,36,2,2,18
6,36,2,2,18
7,36,1,1,19
8,36,2,2,18
9,36,1,1,19
10,36,2,2,18
11,36,2,2,18
12,36,1,1,19
13,36,1,1,19
14,36,1,1,19
15,36,2,2,18
16,36,2,2,18
17,36,2,2,18
18,36,2,2,18
19,36,2,2,18
20,36,2,2,18
21,36,2,2,18
22,36,3,3,17
23,36,7,7,13
24,36,7,7,13
25,36,9,9,11
26,36,13,13,7
5,37,2,2,18
6,37,2,2,18
7,37,1,1,19
8,37,2,2,18
9,37,1,1,19
10,37,2,2,18
11,37,2,2,18
12,37,1,1,19
13,37,1,1,19
14,37,1,1,19
15,37,2,2,18
16,37,3,3,17
17,37,2,2,18
18,37,3,3,17
19,37,2,2,18
20,37,2,2,18
21,37,2,2,18
22,37,3,3,17
23,37,7,7,13
24,37,8,8,12
25,37,9,9,11
26,37,13,13,7
27,37,14,14,6
5,38,2,2,18
6,38,2,2,18
7,38,1,1,19
8,38,1,1,19
9,38,1,1,19
10,38,2,2,18
11,38,2,2,18
12,38,1,1,19
13,38,1,1,19
14,38,1,1,19
15,38,2,2,18
16,38,2,2,18
17,38,2,2,18
18,38,2,2,18
19,38,2,2,18
20,38,2,2,18
21,38,2,2,18
22,38,3,3,17
23,38,7,7,13
24,38,7,7,13
25,38,9,9,11
26,38,12,12,8
27,38,13,13,7
28,38,12,12,8
5,39,2,2,18
6,39,2,2,18
7,39,1,1,19
8,39,1,1,19
9,39,1,1,19
10,39,2,2,18
11,39,2,2,18
12,39,1,1,19
13,39,1,1,19
14,39,1,1,19
15,39,1,1,19
16,39,1,1,19
17,39,2,2,18
18,39,2,2,18
19,39,2,2,18
20,39,2,2,18
21,39,2,2,18
22,39,4,4,16
23,39,8,8,12
24,39,6,6,14
25,39,9,9,11
26,39,11,11,9
27,39,13,13,7
28,39,14,14,6
29,39,14,14,6
5,40,1,1,19
6,40,2,2,18
7,40,2,2,18
8,40,1,1,19
9,40,1,1,19
10,40,3,3,17
11,40,2,2,18
12,40,1,1,19
13,40,1,1,19
14,40,1,1,19
15,40,1,1,19
16,40,2,2,18
17,40,2,2,18
18,40,1,1,19
19,40,2,2,18
20,40,2,2,18
21,40,1,1,19
22,40,3,3,17
23,40,6,6,14
24,40,7,7,13
25,40,8,8,12
26,40,8,8,12
27,40,12,12,8
28,40,12,12,8
29,40,11,11,9
30,40,11,11,9
5,41,1,1,19
6,41,1,1,19
7,41,1,1,19
8,41,1,1,19
9,41,1,1,19
10,41,2,2,18
11,41,2,2,18
12,41,1,1,19
13,41,1,1,19
14,41,1,1,19
15,41,2,2,18
16,41,1,1,19
17,41,1,1,19
18,41,1,1,19
19,41,2,2,18
20,41,1,1,19
21,41,2,2,18
22,41,2,2,18
23,41,4,4,16
24,41,4,4,16
25,41,8,8,12
26,41,9,9,11
27,41,12,12,8
28,41,10,10,10
29,41,11,11,9
30,41,9,9,11
31,41,7,7,13
5,42,1,1,19
6,42,1,1,19
7,42,1,1,19
8,42,1,1,19
9,42,1,1,19
