L_min,L_max,error,sqr_error,n_successes
5,15,35,91,5
5,16,40,108,4
6,16,39,105,4
5,17,37,91,3
6,17,43,121,4
7,17,40,108,4
5,18,45,127,3
6,18,42,122,5
7,18,45,127,3
8,18,42,118,4
5,19,49,141,2
6,19,49,145,3
7,19,46,132,3
8,19,47,133,2
9,19,49,141,2
5,20,52,148,1
6,20,52,148,1
7,20,48,136,2
8,20,50,144,2
9,20,49,141,2
10,20,47,129,1
5,21,53,149,0
6,21,52,146,0
7,21,52,150,1
8,21,54,154,0
9,21,50,142,1
10,21,51,143,0
11,21,52,146,0
5,22,53,149,0
6,22,52,146,0
7,22,54,158,1
8,22,53,149,0
9,22,53,155,1
10,22,54,156,0
11,22,56,162,0
12,22,55,159,0
5,23,56,162,0
6,23,57,167,0
7,23,56,162,0
8,23,58,172,0
9,23,56,164,0
10,23,54,156,0
11,23,58,170,0
12,23,54,158,1
13,23,60,180,0
5,24,55,157,0
6,24,56,162,0
7,24,57,167,0
8,24,58,172,0
9,24,56,164,0
10,24,56,164,0
11,24,58,170,0
12,24,57,167,0
13,24,60,180,0
14,24,58,172,0
5,25,55,157,0
6,25,54,154,0
7,25,54,158,1
8,25,55,157,0
9,25,53,155,1
10,25,53,153,1
11,25,58,170,0
12,25,57,167,0
13,25,60,180,0
14,25,58,172,0
15,25,58,170,0
5,26,55,157,0
6,26,54,154,0
7,26,54,158,1
8,26,55,163,1
9,26,51,147,1
10,26,51,149,2
11,26,54,154,0
12,26,57,167,0
13,26,60,180,0
14,26,59,175,0
15,26,58,170,0
16,26,53,153,1
5,27,56,162,0
6,27,55,159,0
7,27,54,158,1
8,27,54,158,1
9,27,48,138,2
10,27,51,145,1
11,27,57,167,0
12,27,56,162,0
13,27,60,180,0
14,27,58,172,0
15,27,59,175,0
16,27,52,152,2
17,27,55,163,1
5,28,54,158,1
6,28,55,159,0
7,28,54,158,1
8,28,54,158,1
9,28,49,139,1
10,28,49,141,2
11,28,55,159,0
12,28,57,167,0
13,28,60,180,0
14,28,56,164,0
15,28,58,170,0
16,28,52,152,2
17,28,55,163,1
18,28,47,133,2
5,29,54,158,1
6,29,55,159,0
7,29,54,158,1
8,29,52,150,1
9,29,49,139,1
10,29,50,142,1
11,29,55,159,0
12,29,57,167,0
13,29,58,172,0
14,29,56,164,0
15,29,57,167,0
16,29,49,139,2
17,29,55,163,1
18,29,46,132,3
19,29,43,119,3
5,30,54,158,1
6,30,56,162,0
7,30,54,158,1
8,30,52,150,1
9,30,51,147,1
10,30,50,142,1
11,30,55,159,0
12,30,57,167,0
13,30,58,172,0
14,30,56,164,0
15,30,57,167,0
16,30,50,144,2
17,30,55,163,1
18,30,46,132,3
19,30,43,119,3
20,30,42,118,4
5,31,54,158,1
6,31,56,162,0
7,31,54,158,1
8,31,52,150,1
9,31,53,155,1
10,31,51,145,1
11,31,57,167,0
12,31,59,175,0
13,31,58,172,0
14,31,56,164,0
15,31,59,175,0
16,31,50,144,2
17,31,56,166,1
18,31,46,132,3
19,31,45,127,3
20,31,44,126,4
21,31,32,80,6
5,32,56,162,0
6,32,55,159,0
7,32,54,158,1
8,32,52,150,1
9,32,51,147,1
10,32,52,146,0
11,32,57,167,0
12,32,59,175,0
13,32,58,172,0
14,32,56,164,0
15,32,59,175,0
16,32,50,144,2
17,32,56,166,1
18,32,46,132,3
19,32,48,136,2
20,32,44,126,4
21,32,31,77,6
22,32,30,76,7
5,33,56,162,0
6,33,55,159,0
7,33,54,158,1
8,33,52,150,1
9,33,52,150,1
10,33,51,145,1
11,33,57,167,0
12,33,55,159,0
13,33,58,172,0
14,33,56,164,0
15,33,57,167,0
16,33,50,144,2
17,33,56,166,1
18,33,46,132,3
19,33,48,136,2
20,33,44,126,4
21,33,32,80,6
22,33,32,80,6
23,33,20,46,10
5,34,56,162,0
6,34,55,159,0
7,34,54,158,1
8,34,52,150,1
9,34,51,147,1
10,34,51,145,1
11,34,55,159,0
12,34,55,159,0
13,34,58,172,0
14,34,56,164,0
15,34,58,172,0
