time,x,E_order,I_order,y,dataset
1,0.05030249462142278,3,1,0,1
2,0.288351459121982,3,1,1,1
3,0.48916039021349444,3,1,1,1
4,0.6415510744415405,3,1,0,1
5,0.8288282847954105,3,1,2,1
6,1.0799806714666484,3,1,1,1
7,1.409128402772934,3,1,2,1
8,1.8378730560776697,3,1,1,1
9,2.396519474944494,3,1,1,1
10,3.1244295899191226,3,1,3,1
11,4.072497554341805,3,1,2,1
12,5.306624493747652,3,1,3,1
13,6.911987668284155,3,1,9,1
14,8.99833995166021,3,1,7,1
15,11.70654403139045,3,1,10,1
16,15.216458513245932,3,1,21,1
17,19.756162191326993,3,1,17,1
18,25.61224076700529,3,1,23,1
19,33.140371763380344,3,1,42,1
20,42.77460405787252,3,1,46,1
21,55.032378984136614,3,1,57,1
22,70.51031752502954,3,1,72,1
23,89.86303307628503,3,1,91,1
24,113.75396167411691,3,1,124,1
25,142.76438111979587,3,1,121,1
26,177.24666055766215,3,1,174,1
27,217.1144104709732,3,1,234,1
28,261.5811805037865,3,1,255,1
29,308.8951358349011,3,1,337,1
30,356.1664380949976,3,1,378,1
31,399.42634404048613,3,1,378,1
32,434.05068466843477,3,1,416,1
33,455.5804983524572,3,1,469,1
34,460.77840512019884,3,1,474,1
35,448.56034422919174,3,1,507,1
36,420.3931697480675,3,1,403,1
37,379.94347571518483,3,1,389,1
38,332.1132718965455,3,1,324,1
39,281.87307253668223,3,1,282,1
40,233.32773348586124,3,1,244,1
41,189.25142153274737,3,1,208,1
42,151.0765605558163,3,1,149,1
43,119.16758434929397,3,1,116,1
44,93.18905767402612,3,1,85,1
45,72.43754238927704,3,1,76,1
46,56.08156913774383,3,1,65,1
47,43.30699350909708,3,1,43,1
48,33.38932446321269,3,1,22,1
49,25.71898588330987,3,1,31,1
50,19.8005812707097,3,1,30,1
51,15.240201794496897,3,1,11,1
52,11.728890350814254,3,1,7,1
53,9.026354380977864,3,1,14,1
54,6.946649216297374,3,1,10,1
55,5.3463081507970855,3,1,4,1
56,4.114818471733997,3,1,2,1
57,3.167123325852117,3,1,5,1
58,2.4377830380999512,3,1,3,1
59,1.8764570237408407,3,1,1,1
60,1.444419659443156,3,1,2,1
1,0.05446080512760476,3,2,0,1
2,0.3286590377200742,3,2,0,1
3,0.5740123952292513,3,2,0,1
